"","n_trial","stim_i","oper","O1","O2","RA","Taste","RZ","Fx_zeit","O1_zeit","O2_zeit","RA_zeit","RT_t1","StartPulseTime","cp_jit","RT","trained","subj"
"2","1","106",-0.5,52,13,37,1,968,23717,25214,26611,30902,31870,23269,-400,968,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"3","2","88",-0.5,45,14,41,1,546,42330,43827,45224,50214,50760,23269,300,546,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"4","3","37",0.5,46,28,64,2,451,62024,63521,64918,69808,70259,23269,200,451,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"5","4","67",-0.5,47,13,24,2,641,81335,82832,84229,88820,89461,23269,-100,641,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"6","5","126",-0.5,86,38,46,1,617,100730,102227,103624,108015,108632,23269,-300,617,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"7","6","127",-0.5,65,27,48,2,564,120041,121538,122935,127426,127990,23269,-200,564,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"8","7","9",0.5,24,15,37,2,489,139253,140750,142147,146438,146927,23269,-400,489,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"9","8","32",0.5,47,21,78,1,533,158265,159762,161159,166049,166582,23269,200,533,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"10","9","36",0.5,57,18,65,1,481,177410,178907,180304,185194,185675,23269,200,481,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"11","10","51",0.5,37,25,72,2,480,196522,198019,199416,204007,204487,23269,-100,480,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"12","11","92",-0.5,62,21,43,1,501,216116,217613,219010,224000,224501,23269,300,501,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"13","12","70",-0.5,68,23,35,1,497,235627,237124,238521,243628,244125,23269,400,497,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"14","13","103",-0.5,73,15,68,2,580,255654,257151,258548,263654,264234,23269,400,580,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"15","14","25",0.5,61,18,69,2,612,275764,277261,278658,282949,283561,23269,-400,612,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"16","15","71",-0.5,67,14,51,2,484,294559,296056,297454,302560,303044,23269,400,484,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"17","16","96",-0.5,56,15,31,1,619,314586,316083,317480,321971,322590,23269,-200,619,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"18","17","76",-0.5,53,21,34,1,547,333798,335295,336692,341183,341730,23269,-200,547,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"19","18","16",0.5,45,34,89,1,445,353192,354689,356086,360378,360823,23269,-400,445,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"20","19","40",0.5,47,15,64,1,498,371788,373285,374683,379074,379572,23269,-300,498,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"21","20","4",0.5,32,31,65,1,593,391200,392696,394094,398884,399477,23269,100,593,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"22","21","43",0.5,43,19,64,2,474,410295,411792,413189,417580,418054,23269,-300,474,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"23","22","54",0.5,47,18,63,1,546,428991,430488,431885,436476,437022,23269,-100,546,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"24","23","113",-0.5,82,19,65,2,513,447787,449284,450681,455571,456084,23269,200,513,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"25","24","18",0.5,32,13,47,1,645,467081,468578,469976,474766,475411,23269,100,645,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"26","25","120",-0.5,71,35,46,1,536,486676,488173,489570,494061,494597,23269,-200,536,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"27","26","62",0.5,59,13,74,1,522,505987,507484,508881,513871,514393,23269,300,522,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"28","27","99",-0.5,83,25,48,2,649,525398,526895,528293,533399,534048,23269,400,649,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"29","28","85",-0.5,65,24,43,2,543,544926,546423,547820,552411,552954,23269,-100,543,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"30","29","111",-0.5,65,29,38,2,559,564021,565518,566915,571706,572265,23269,100,559,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"31","30","23",0.5,62,14,78,2,568,583316,584813,586210,590602,591170,23269,-300,568,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"32","31","61",0.5,39,24,61,2,583,602528,604025,605422,610212,610795,23269,100,583,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"33","32","14",0.5,42,25,69,1,697,622338,623835,625232,630222,630919,23269,300,697,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"34","33","86",-0.5,75,13,64,1,507,676164,677661,679058,684065,684572,676081,300,507,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"35","34","102",-0.5,84,35,47,1,548,695991,697488,698885,703992,704540,676081,400,548,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"36","35","124",-0.5,71,24,37,1,490,716118,717615,719012,724002,724492,676081,300,490,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"37","36","20",0.5,51,24,65,1,475,735313,736810,738207,742798,743273,676081,-100,475,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"38","37","69",-0.5,78,31,45,2,517,754408,755905,757335,761926,762443,676081,-100,517,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"39","38","13",0.5,58,21,69,2,547,773453,774950,776347,780739,781286,676081,-300,547,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"40","39","77",-0.5,86,25,71,2,645,792765,794262,795659,800250,800895,676081,-100,645,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"41","40","26",0.5,31,28,69,1,577,811760,813257,814654,819145,819722,676081,-200,577,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"42","41","2",0.5,51,13,74,1,557,831254,832751,834149,839039,839596,676081,200,557,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"43","42","105",-0.5,71,24,49,2,673,850965,852462,853859,858250,858923,676081,-300,673,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"44","43","82",-0.5,48,14,32,1,597,869561,871058,872455,876747,877344,676081,-400,597,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"45","44","121",-0.5,61,24,39,2,473,888773,890270,891667,896058,896531,676081,-300,473,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"46","45","66",-0.5,86,41,43,1,663,907685,909182,910579,915070,915733,676081,-200,663,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"47","46","44",0.5,43,29,74,1,561,926980,928477,929874,934265,934826,676081,-300,561,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"48","47","1",0.5,51,23,64,2,557,945676,947173,948570,953361,953918,676081,100,557,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"49","48","87",-0.5,86,24,52,2,883,964771,966268,967665,972456,973339,676081,100,883,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"50","49","24",0.5,43,21,62,1,758,984083,985580,986977,991268,992026,676081,-400,758,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"51","50","60",0.5,34,29,53,1,479,1003377,1004874,1006272,1011062,1011541,676081,100,479,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"52","51","63",0.5,47,24,61,2,558,1022972,1024469,1025866,1030357,1030915,676081,-200,558,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"53","52","45",0.5,48,24,82,2,443,1041867,1043364,1044761,1049252,1049695,676081,-200,443,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"54","53","68",-0.5,46,14,34,1,607,1061062,1062559,1063956,1068946,1069553,676081,300,607,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"55","54","5",0.5,24,12,46,2,492,1080972,1082469,1083867,1088873,1089365,676081,300,492,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"56","55","128",-0.5,75,27,38,1,524,1100384,1101881,1103278,1108168,1108692,676081,200,524,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"57","56","28",0.5,52,16,78,1,590,1120194,1121691,1123088,1128195,1128785,676081,400,590,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"58","57","116",-0.5,51,19,42,1,478,1140021,1141518,1142915,1147806,1148284,676081,200,478,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"59","58","93",-0.5,68,37,21,2,503,1159216,1160713,1162110,1167217,1167720,676081,400,503,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"60","59","50",0.5,49,26,73,1,538,1179043,1180540,1181937,1186728,1187266,676081,100,538,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"61","60","104",-0.5,51,16,25,1,1518,1198155,1199652,1201049,1205341,1206859,676081,-400,1518,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"62","61","48",0.5,49,24,71,1,671,1216668,1218165,1219562,1224453,1225124,676081,200,671,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"63","62","55",0.5,35,28,73,2,562,1236578,1238075,1239473,1243764,1244326,676081,-400,562,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"64","63","34",0.5,37,28,67,1,653,1255374,1256871,1258268,1262859,1263512,676081,-100,653,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"65","64","100",-0.5,74,35,49,1,512,1274187,1275684,1277081,1282187,1282699,676081,400,512,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"66","65","38",0.5,39,25,74,1,513,1327064,1328561,1329959,1334949,1335462,1326943,300,513,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"67","66","112",-0.5,57,18,49,1,452,1346559,1348056,1349453,1354243,1354695,1326943,100,452,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"68","67","56",0.5,58,17,65,1,474,1366070,1367567,1368964,1373455,1373929,1326943,-200,474,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"69","68","19",0.5,34,23,67,2,483,1385381,1386878,1388275,1393382,1393865,1326943,400,483,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"70","69","73",-0.5,83,51,34,2,481,1405508,1407005,1408402,1412993,1413474,1326943,-100,481,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"71","70","84",-0.5,89,41,46,1,539,1424320,1425817,1427214,1431606,1432145,1326943,-300,539,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"72","71","74",-0.5,63,12,41,1,629,1443033,1444530,1445927,1450218,1450847,1326943,-400,629,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"73","73","107",-0.5,61,14,57,2,720,1480924,1482421,1483818,1488109,1488829,1326943,-400,720,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"74","74","83",-0.5,48,23,23,2,524,1500135,1501632,1503030,1507820,1508344,1326943,100,524,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"75","75","8",0.5,24,13,47,1,553,1519430,1520927,1522324,1527431,1527984,1326943,400,553,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"76","76","7",0.5,42,34,78,2,525,1539457,1540954,1542351,1547458,1547983,1326943,400,525,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"77","77","59",0.5,45,26,81,2,638,1559267,1560764,1562162,1566453,1567091,1326943,-400,638,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"78","78","108",-0.5,72,23,39,1,570,1577980,1579477,1580874,1585864,1586434,1326943,300,570,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"79","79","46",0.5,29,14,41,1,429,1597691,1599188,1600585,1605176,1605605,1326943,-100,429,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"80","80","89",-0.5,54,12,32,2,491,1616586,1618083,1619480,1623972,1624463,1326943,-200,491,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"81","81","27",0.5,41,17,56,2,790,1635881,1637378,1638775,1643266,1644056,1326943,-200,790,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"82","82","12",0.5,62,16,68,1,606,1655292,1656789,1658187,1663293,1663899,1326943,400,606,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"83","83","90",-0.5,74,43,41,1,544,1675419,1676916,1678313,1682604,1683148,1326943,-400,544,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"84","84","123",-0.5,62,13,59,2,443,1694614,1696111,1697508,1702298,1702741,1326943,100,443,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"85","85","122",-0.5,52,14,36,1,496,1714108,1715605,1717002,1722009,1722505,1326943,300,496,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"86","86","109",-0.5,75,26,47,2,509,1733320,1734817,1736214,1740605,1741114,1326943,-300,509,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"87","87","72",-0.5,79,21,68,1,571,1751916,1753413,1754810,1759401,1759972,1326943,-100,571,0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"88","88","21",0.5,42,34,74,2,473,1771527,1773024,1774421,1779311,1779784,1326943,200,473,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
"89","89","52",0.5,46,27,63,1,447,1790739,1792236,1793633,1798523,1798970,1326943,200,447,-0.5,"/Volumes/Drive/Thesis/new_data/sub8/log_files/sub8_S2_ASTrain.xls"
